target,date,sample_count,top10_count,top50_count,ic,rank_ic,universe_mean_target,top10_mean_target,top50_mean_target,top10_excess_target,top50_excess_target
Y_future_5d_return,2025-04-29,100,10,50,0.17145640106546625,0.1606120612061206,0.019604075862440805,0.03307109865890104,0.01934639003453989,0.013467022796460233,-0.00025768582790091504
Y_future_5d_return,2025-04-30,100,10,50,0.16742924078857477,0.17391147809807,0.025149981532645617,0.038885412980841805,0.024734412242152542,0.013735431448196188,-0.0004155692904930751
Y_future_5d_return,2025-05-06,100,10,50,0.37263663581937756,0.3623533223938373,0.012573789360755523,0.03343509323975073,0.018072176971619634,0.020861303878995208,0.0054983876108641114
Y_future_5d_return,2025-05-07,100,10,50,0.16590789435503583,0.08436843684368435,0.020777982830438108,0.03488699820366225,0.02464584575152877,0.014109015373224142,0.0038678629210906618
Y_future_5d_return,2025-05-08,100,10,50,0.23764760117616368,0.30394930677996623,0.00458265127473762,0.0199154292244965,0.009572319800751915,0.01533277794975888,0.0049896685260142955
Y_future_5d_return,2025-05-09,100,10,50,0.14770251999481326,0.04669961212946759,0.007448802063325332,0.01646887515992633,0.007486439242853689,0.009020073096600998,3.763717952835668e-05
Y_future_5d_return,2025-05-12,100,10,50,-0.06004304646612286,0.11725207696445501,-0.0020034850863258065,-0.0063066593590204905,-0.0025436019851728564,-0.004303174272694684,-0.00054011689884705
Y_future_5d_return,2025-05-13,100,10,50,-0.10295352089975385,-0.07726604462057492,0.0036995880890138776,0.00447418740077572,0.00169703892059979,0.0007745993117618424,-0.0020025491684140875
Y_future_5d_return,2025-05-14,100,10,50,-0.22644457363144846,-0.0961719057067206,-0.001639941003197442,-0.0117407751697881,-0.005358171705091869,-0.010100834166590657,-0.0037182307018944266
Y_future_5d_return,2025-05-15,100,10,50,-0.2905675787714919,-0.12855839854989481,0.0037547711298588564,-0.00869015919919893,0.000807011354405922,-0.012444930329057786,-0.0029477597754529344
Y_future_5d_return,2025-05-16,100,10,50,-0.13049275609598762,0.11599194717108062,-0.001323022882367793,0.00215874902014883,-9.502751755545171e-05,0.003481771902516623,0.0012279953648123413
Y_future_5d_return,2025-05-19,100,10,50,-0.1773112691438551,-0.034671467146714666,-0.003493538520056626,-0.00060201476513413,-0.0048029049549631305,0.002891523754922496,-0.0013093664349065046
Y_future_5d_return,2025-05-20,100,10,50,-0.0506121907135981,0.036568753954472163,-0.013538120494697062,-0.011814116419547622,-0.012962758060901964,0.00172400407514944,0.0005753624337950982
Y_future_5d_return,2025-05-21,100,10,50,0.04251877737475577,0.09369336933693369,-0.017895079013014844,-0.01289881996049676,-0.01783847664647579,0.004996259052518083,5.66023665390554e-05
Y_future_5d_return,2025-05-22,99,10,50,-0.14636005785520223,-0.1703344784624051,-0.0007808335915544193,-0.0011910932160539597,-0.0026697551654140937,-0.00041025962449954046,-0.0018889215738596744
Y_future_5d_return,2025-05-23,100,10,50,-0.19813260921072812,-0.12871073245314626,-0.0005842306544227171,0.0005766149313796204,-0.001322235760836958,0.0011608455858023374,-0.0007380051064142409
Y_future_5d_return,2025-05-26,100,10,50,-0.04309538610850475,0.0014163796097287145,0.005531978316239903,0.00386892968235783,0.00364994453643883,-0.001663048633882073,-0.001882033779801073
Y_future_5d_return,2025-05-27,100,10,50,-0.21221041881753794,-0.1334177420280293,0.015777815454952285,0.010466115446601861,0.012206814751396889,-0.005311700008350424,-0.0035710007035553958
Y_future_5d_return,2025-05-28,100,10,50,-0.1280459942167496,-0.19050705070507049,0.02025617703004349,0.008929386510948262,0.017950467370777184,-0.011326790519095227,-0.0023057096592663043
Y_future_5d_return,2025-05-29,100,10,50,0.00015787970024394357,0.0008640967789014589,0.008469431169809066,0.01132477981758442,0.008749911580685332,0.002855348647775355,0.00028048041087626666
Y_future_5d_return,2025-05-30,100,10,50,-0.18079816885298425,-0.1706755795854654,0.02261062589677528,0.012929402869368592,0.01894069453326337,-0.009681223027406689,-0.003669931363511913
