target,date,sample_count,top10_count,top50_count,ic,rank_ic,universe_mean_target,top10_mean_target,top50_mean_target,top10_excess_target,top50_excess_target
Y_future_5d_return,2025-07-07,100,10,50,-0.04390209673758077,-0.08033603360336032,0.020889968724804527,0.01628596991299144,0.02098322382909445,-0.004603998811813087,9.325510428992434e-05
Y_future_5d_return,2025-07-08,100,10,50,-0.2447513507888632,-0.10682900338782972,0.013270277075982375,0.01256861726131489,0.012272388467742533,-0.0007016598146674848,-0.0009978886082398428
Y_future_5d_return,2025-07-09,100,10,50,-0.2751610354455275,-0.09589846684384962,0.014403092803237094,0.00915269124574918,0.01144948018838447,-0.0052504015574879135,-0.002953612614852625
Y_future_5d_return,2025-07-10,100,10,50,-0.3329164873764702,-0.1284968496849685,0.01927212032561449,0.00876951128050642,0.016970878714716232,-0.01050260904510807,-0.002301241610898258
Y_future_5d_return,2025-07-11,100,10,50,-0.08468539764423368,0.06550874740127714,0.01866608693867891,0.01750587651720058,0.017137328269863264,-0.0011602104214783297,-0.0015287586688156468
Y_future_5d_return,2025-07-14,100,10,50,-0.16079686765771076,-0.03659776957043046,0.024462854789415393,0.020611404038824933,0.024518627320640238,-0.0038514507505904606,5.5772531224844435e-05
Y_future_5d_return,2025-07-15,100,10,50,0.010457319181915462,-0.030279027902790277,0.029119541122645434,0.03177026194428944,0.029527885588772777,0.002650720821644005,0.00040834446612734304
Y_future_5d_return,2025-07-16,100,10,50,-0.01603859852659552,-0.10346865727216467,0.029770849314124537,0.028845309106609394,0.02707750319013502,-0.000925540207515143,-0.002693346123989516
Y_future_5d_return,2025-07-17,100,10,50,-0.09069663171007411,-0.15677167716771673,0.030338163782051973,0.02448442529714669,0.027425965908143876,-0.005853738484905283,-0.002912197873908097
Y_future_5d_return,2025-07-18,100,10,50,-0.013237355414242293,-0.06796900080738905,0.022031395001035504,0.018708485528889637,0.021907336484660974,-0.0033229094721458664,-0.00012405851637452975
Y_future_5d_return,2025-07-21,100,10,50,-0.14535613650837503,-0.20026402640264024,0.01935634106185962,0.01652818839975282,0.017152772306750157,-0.0028281526621068004,-0.002203568755109464
Y_future_5d_return,2025-07-22,100,10,50,-0.33664356791497035,-0.3178877887788779,0.018162839334897013,-0.0023033911803704205,0.011617186374560056,-0.020466230515267435,-0.0065456529603369566
Y_future_5d_return,2025-07-23,100,10,50,-0.27910223060511674,-0.2172337233723372,0.013431929943988055,-0.0034443662625772897,0.010573583158321189,-0.016876296206565344,-0.002858346785666866
Y_future_5d_return,2025-07-24,100,10,50,-0.022345408628444623,0.12702070207020702,-0.009595247176674015,-0.0034598245406745496,-0.004277967199015257,0.0061354226359994655,0.005317279977658758
Y_future_5d_return,2025-07-25,100,10,50,0.006669738521551789,0.062442244224422426,-0.01148122807576328,-0.010255120026015672,-0.012148991044760735,0.0012261080497476089,-0.000667762968997454
Y_future_5d_return,2025-07-28,100,10,50,-0.00794869914805826,0.05147314731473147,-0.010248560437674033,-0.00879424829572934,-0.010252488571640963,0.0014543121419446931,-3.928133966929828e-06
Y_future_5d_return,2025-07-29,100,10,50,-0.14016315212462468,-0.17953133915488972,-0.008585120191629488,-0.01562793108293473,-0.01043911873589749,-0.0070428108913052415,-0.0018539985442680013
Y_future_5d_return,2025-07-30,100,10,50,-0.08261912619420884,-0.14199862585910253,-3.5746391451919314e-06,-0.0093194222305891,0.0003671999262532942,-0.009315847591443908,0.0003707745653984861
Y_future_5d_return,2025-07-31,100,10,50,-0.1196723431349716,-0.14167416741674166,0.012443923179005771,0.0049826410054316,0.009255221006863264,-0.007461282173574171,-0.0031887021721425067
Y_future_5d_return,2025-08-01,100,10,50,-0.2170182129269383,-0.25463022691451814,0.012966581304516632,0.0017485545491729196,0.00969656603277846,-0.011218026755343712,-0.0032700152717381713
Y_future_5d_return,2025-08-04,100,10,50,0.021844660721550602,0.004272427242724272,0.015679951514094924,0.01107458977355218,0.016345903163943954,-0.004605361740542744,0.0006659516498490302
Y_future_5d_return,2025-08-05,100,10,50,0.2503034415342624,-0.019357935793579355,0.01251123192440516,0.0031084095871893097,0.012925060028397566,-0.00940282233721585,0.00041382810399240647
Y_future_5d_return,2025-08-06,100,10,50,0.19520087580086162,0.1374741598390821,0.02123283247175566,0.019212027977699088,0.024713422979244906,-0.002020804494056571,0.0034805905074892472
Y_future_5d_return,2025-08-07,100,10,50,0.15868151843237321,0.09656281504223803,0.017610367588482907,0.031053577046227167,0.01965870561743573,0.01344320945774426,0.002048338028952823
Y_future_5d_return,2025-08-08,100,10,50,-0.005443151826909893,-0.007788778877887788,0.03282166827677287,0.023927505946956522,0.03303121344028458,-0.008894162329816345,0.00020954516351171654
Y_future_5d_return,2025-08-11,100,10,50,0.03005574588220512,0.05225322532253225,0.0363651730630517,0.037804801066020285,0.04034409465002081,0.001439628002968582,0.003978921586969109
Y_future_5d_return,2025-08-12,100,10,50,-0.09157732570349263,-0.10247824782478246,0.027897749743266465,0.03157657298250846,0.025983791870538106,0.0036788232392419955,-0.0019139578727283592
Y_future_5d_return,2025-08-13,100,10,50,-0.03831898820390004,-0.043480348034803475,0.023005694347274886,0.017447396694273642,0.019745087905028408,-0.005558297653001244,-0.0032606064422464782
Y_future_5d_return,2025-08-14,100,10,50,0.06689221945519437,0.008736873687368736,0.027812561165561224,0.036253873001890494,0.0287545673432309,0.00844131183632927,0.0009420061776696763
Y_future_5d_return,2025-08-15,100,10,50,0.16594997655960592,0.12285628562856285,0.03559788340588946,0.03997987123390967,0.04066515676264127,0.004381987828020212,0.005067273356751813
Y_future_5d_return,2025-08-18,100,10,50,0.29388588593115744,0.3007809804423392,0.04560546500843502,0.06312378152351601,0.052691934807493804,0.01751831651508099,0.0070864697990587824
Y_future_5d_return,2025-08-19,100,10,50,0.021572590518510286,-0.10924692469246924,0.04526928247637278,0.04165672638906062,0.04510023651248999,-0.0036125560873121604,-0.00016904596388279264
Y_future_5d_return,2025-08-20,100,10,50,-0.14677659788689543,-0.07474437137497619,0.022960969063227074,0.02874130690080671,0.01960049502306014,0.005780337837579638,-0.0033604740401669345
Y_future_5d_return,2025-08-21,100,10,50,-0.003179873421031825,-0.009768976897689768,0.03800498102560865,0.060344725846283774,0.03864086897173882,0.022339744820675127,0.0006358879461301759
Y_future_5d_return,2025-08-22,100,10,50,0.15951008030383748,0.19756375637563753,0.024429838442043227,0.05469456349248071,0.027805538112757624,0.030264725050437483,0.0033756996707143966
Y_future_5d_return,2025-08-25,100,10,50,-0.20993094737820034,0.009289040373190683,0.0129006702611448,0.01574227770308935,0.016566273534241584,0.00284160744194455,0.0036656032730967847
Y_future_5d_return,2025-08-26,100,10,50,-0.21662583106425734,-0.15587158715871585,0.005974666080353357,0.004711043290281789,0.002024589859598676,-0.001263622790071568,-0.0039500762207546804
Y_future_5d_return,2025-08-27,100,10,50,-0.14296124287302944,-0.1025982598259826,0.01134385516623378,0.02132110333386157,0.005062012937577034,0.009977248167627791,-0.0062818422286567465
