model,date,candidate_pred_std,candidate_return_std,top10_mean_return,top50_mean_return,top10_excess_within_top50,candidate_size,top10_size
random_forest,2025-11-12,0.0020038251178065656,0.019011703588517243,-0.0267399543548545,-0.0185007034423443,-0.0082392509125102,50,10
random_forest,2025-11-13,0.002784710747406038,0.016091402137576327,-0.0422420449131741,-0.0331845583604647,-0.009057486552709396,50,10
random_forest,2025-11-14,0.0017690733841991117,0.020473328952675323,-0.0599154549689755,-0.0449336487711159,-0.014981806197859597,50,10
random_forest,2025-11-17,0.0017209266838523157,0.02290175182618391,-0.0524413115342691,-0.0367693426222235,-0.0156719689120456,50,10
random_forest,2025-11-18,0.002150452447298222,0.01817127068056368,-0.0223405646413699,-0.0168204812785797,-0.005520083362790199,50,10
random_forest,2025-11-19,0.002485429104960927,0.02239468532283815,-0.0115101856317412,-0.0117906880502156,0.0002805024184743994,50,10
random_forest,2025-11-20,0.002437399685612422,0.014035143379708178,-0.021809960515393,-0.0111064210133761,-0.010703539502016898,50,10
random_forest,2025-11-21,0.004882829813743043,0.021997146517204233,0.0261646022434553,0.0241731877345436,0.0019914145089117014,50,10
random_forest,2025-11-24,0.006905085399570184,0.026542142642173555,0.0383704834155731,0.0307676199567377,0.007602863458835402,50,10
random_forest,2025-11-25,0.002047044314241676,0.015607787998463152,0.009666423578728,0.0096449117873645,2.1511791363499136e-05,50,10
random_forest,2025-11-26,0.00281582117916738,0.011422045327560755,0.0002331941411492,0.0015463475562146,-0.0013131534150654,50,10
random_forest,2025-11-27,0.0019671038766208553,0.013097607142526361,0.0036676818141699,0.0039729345159745,-0.0003052527018046003,50,10
random_forest,2025-11-28,0.0021772436869363174,0.012212745394083865,0.0080246915925086,0.0071972595179204,0.0008274320745881997,50,10
random_forest,2025-12-01,0.0018996762692285011,0.012666781294212339,-0.0014567607645316,0.0047436548186673,-0.0062004155831989,50,10
random_forest,2025-12-02,0.002384509619553496,0.017958753297652445,-0.0122596031396343,-0.0029219748944891,-0.0093376282451452,50,10
random_forest,2025-12-03,0.002179931391608216,0.01958037164776151,0.0039160951999071,0.0057075692459498,-0.0017914740460426995,50,10
random_forest,2025-12-04,0.002049206720406512,0.01375826320254944,-0.0040575716415436,-0.0031511161415311,-0.0009064555000124997,50,10
random_forest,2025-12-05,0.0016110366123006166,0.011466265952733758,-0.0024646019991347,-0.0038226981520608,0.0013580961529260998,50,10
random_forest,2025-12-08,0.004830958826971244,0.011234803226147913,-0.024650386415736,-0.0153806273241143,-0.0092697590916217,50,10
random_forest,2025-12-09,0.002277687379232715,0.016483983278227303,-0.0173925188207722,-0.0183617255383452,0.0009692067175730013,50,10
random_forest,2025-12-10,0.002138981201235047,0.014461699592048334,-0.000232238483187,-0.0067769506355054,0.0065447121523184,50,10
random_forest,2025-12-11,0.002103921065806474,0.016858917894673742,-0.0071620627174346,-0.0053698547639804,-0.0017922079534541998,50,10
random_forest,2025-12-12,0.0023324938625008734,0.015340565196172605,-0.0083263996774099,-0.0051501827817847,-0.0031762168956252007,50,10
random_forest,2025-12-15,0.0017199495682847245,0.009462985000717272,0.0077384670138992,0.0077627902015725,-2.4323187673300217e-05,50,10
random_forest,2025-12-16,0.0025265045917215435,0.020748437058786984,0.0377569572412428,0.0263865144599949,0.011370442781247898,50,10
random_forest,2025-12-17,0.002153050274638808,0.013922821818957445,0.0264022682048268,0.0141690107036843,0.012233257501142502,50,10
random_forest,2025-12-18,0.001812941887283559,0.015894863674705474,0.0232932596571174,0.0176723332342634,0.005620926422854,50,10
random_forest,2025-12-19,0.0016841892971461495,0.020289635699833296,0.0243164226232752,0.0172153665377962,0.007101056085479,50,10
random_forest,2025-12-22,0.0022830299875015946,0.013976312929106907,0.0051854941985814,0.0051503983512123,3.509584736909998e-05,50,10
random_forest,2025-12-23,0.0020724405255909194,0.01562541441649914,-0.0025570095386694,0.006681822424517,-0.0092388319631864,50,10
random_forest,2025-12-24,0.0018600396592277002,0.016286260142299343,0.0073467765718492,-0.0006247457940936,0.0079715223659428,50,10
random_forest,2025-12-25,0.0017945471197387665,0.02060355982748472,0.0337045636491889,0.0179844410366421,0.015720122612546798,50,10
random_forest,2025-12-26,0.0021047054991946324,0.020980351601680373,0.0367964985289734,0.0267938666454627,0.010002631883510697,50,10
random_forest,2025-12-29,0.0019452119033848874,0.03308226190097515,0.038691434649698,0.0346139290759943,0.004077505573703698,50,10
random_forest,2025-12-30,0.002498243660749806,0.03189481613511508,0.0570065889339699,0.0307368331972765,0.0262697557366934,50,10
random_forest,2025-12-31,0.0021801602145837293,0.041156481109536375,0.0733053313742082,0.0468511755124698,0.026454155861738396,50,10
random_forest,2026-01-05,0.035436033798689336,0.044722659111704505,0.0554275965668574,0.0493165194511472,0.006111077115710198,50,10
random_forest,2026-01-06,0.005269127812911174,0.04041463773922279,0.0553665546368907,0.0215733962098906,0.0337931584270001,50,10
random_forest,2026-01-07,0.004635775692870284,0.043350626577762105,0.0132755819205681,0.0173318720128782,-0.004056290092310099,50,10
random_forest,2026-01-08,0.0035456232673286444,0.03443128371344938,0.0611658850754731,0.0237359663214926,0.0374299187539805,50,10
random_forest,2026-01-09,0.0034106268196689715,0.025361298486878545,0.0352550413961365,0.0125026757233062,0.022752365672830302,50,10
random_forest,2026-01-12,0.004886618902502661,0.02187059726313667,-0.0190479335673413,-0.0055022845326027,-0.013545649034738597,50,10
random_forest,2026-01-13,0.0036307990993940443,0.027565489522490053,-0.0061336143045969,-0.0077121277945363,0.0015785134899394,50,10
random_forest,2026-01-14,0.003741042715215941,0.035998011978604604,-0.001972545067462,-0.0009513867831755,-0.0010211582842865,50,10
random_forest,2026-01-15,0.005006437559743692,0.02850989356622099,0.0028997191847724,0.0016062000897113,0.0012935190950611,50,10
random_forest,2026-01-16,0.004293811347513476,0.02812569069309278,0.0090177795935102,0.0128763137243404,-0.003858534130830201,50,10
random_forest,2026-01-19,0.004466289302252638,0.032816040648124094,0.0121266296065977,0.0109363435998938,0.0011902860067039,50,10
random_forest,2026-01-20,0.0040397858492647,0.02915961705793717,0.0298589161934125,0.0180184499525492,0.011840466240863299,50,10
random_forest,2026-01-21,0.0071083598938192554,0.02992602427790321,0.0086888481923916,0.0129798452459283,-0.004290997053536701,50,10
random_forest,2026-01-22,0.0040199525971499955,0.047723194257652146,0.0287860596843337,0.0136819649553138,0.0151040947290199,50,10
random_forest,2026-01-23,0.01172251206708022,0.030537833832196618,-0.0270792407767105,-0.0109252906161951,-0.0161539501605154,50,10
random_forest,2026-01-26,0.005268006998576965,0.01843778533581611,-0.0377698873388762,-0.036168073471986,-0.001601813866890199,50,10
random_forest,2026-01-27,0.0032729040677381394,0.016927454408582752,-0.0126750411192973,-0.0202779439481515,0.007602902828854202,50,10
