日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,momentum_20,volatility_20,volume_mean_20,return_mean_20,amplitude_mean_20,turnover_mean_20,MA_5,MA_10,Y_next_day_return,Y_future_5d_return,Y_future_10d_return,Y_future_5d_vol_change,Y_future_10d_vol_change
2023-11-21,0.484,0.482,0.487,0.481,266279,12885311.0,1.24,-0.41,-0.002,0.73,0.06167400881057272,0.015962279855274104,405589.8,0.3125,2.068,1.1085,0.48119999999999996,0.4822,-0.014522821576763545,-0.008298755186721962,-0.06016597510373434,0.007303065586051538,0.34386042512656556
2023-11-22,0.481,0.475,0.481,0.474,180917,8656968.743,1.45,-1.45,-0.007,0.49,0.06981981981981966,0.01541915153043237,343784.25,0.35,1.9645,0.9395,0.47919999999999996,0.48069999999999996,0.006315789473684275,0.0,-0.04421052631578937,-0.18044614239947088,0.2643574885811957
2023-11-23,0.476,0.478,0.478,0.473,144464,6857454.3,1.05,0.63,0.003,0.39,0.06696428571428559,0.015380143100521604,333505.1,0.33649999999999997,1.9155000000000002,0.9109999999999999,0.4796,0.4801,-0.004184100418409997,-0.0020920502092049986,-0.05648535564853552,-0.009198946217590653,0.22911952296083582
2023-11-24,0.478,0.476,0.478,0.473,125967,5973477.396,1.05,-0.42,-0.002,0.34,0.02145922746781115,0.012767309433958091,306219.75,0.1145,1.7114999999999998,0.8365,0.479,0.4795,-0.010504201680672232,0.0,-0.037815126050420034,0.007446874577523799,0.4041883977252483
2023-11-27,0.475,0.471,0.476,0.469,157188,7399341.0,1.47,-1.05,-0.005,0.43,-0.02079002079002079,0.0107051856735785,285043.05,-0.099,1.592,0.7785,0.47639999999999993,0.4786999999999999,0.014861995753715496,-0.01698513800424617,-0.02547770700636931,0.9743961315635612,0.34926233244831795
2023-11-28,0.471,0.478,0.479,0.469,224727,10708238.1,2.12,1.49,0.007,0.61,-0.0020876826722338038,0.0112408894527815,281035.7,-0.0035000000000000144,1.6045000000000003,0.7675,0.4756,0.4784,-0.006276150627615107,-0.05230125523012541,-0.05020920502092041,0.100593023923506,0.10295637172080063
2023-11-29,0.478,0.475,0.479,0.474,408146,19437717.7,1.05,-0.63,-0.003,1.11,0.0021097046413502962,0.011075646913047299,292553.9,0.016999999999999987,1.5525,0.7985,0.4755999999999999,0.4774,0.004210526315789442,-0.04421052631578937,-0.05263157894736836,0.4024090779729479,0.14082417845648365
2023-11-30,0.473,0.477,0.478,0.473,69746,3316748.475,1.05,0.42,0.002,0.19,0.01273885350318471,0.011000955657933766,287936.1,0.06949999999999998,1.5310000000000001,0.786,0.47539999999999993,0.47750000000000004,-0.002096436058700246,-0.0545073375262054,-0.06079664570230603,0.26796723623071594,0.27909007460159163
2023-12-01,0.477,0.476,0.477,0.47,183022,8660568.8,1.47,-0.21,-0.001,0.5,-0.002096436058700246,0.010640040122729065,288386.95,-0.0045000000000000135,1.5195,0.7870000000000001,0.47539999999999993,0.4772,-0.027310924369747802,-0.037815126050420034,-0.06512605042016806,0.7597966951854804,0.3007907005336923
2023-12-04,0.476,0.463,0.476,0.462,321148,14953827.66,2.94,-2.73,-0.013,0.88,-0.053169734151329195,0.010565513134216631,285754.6,-0.267,1.551,0.78,0.47379999999999994,0.4751,-0.021598272138228958,-0.008639308855291628,-0.04103671706263501,-0.12387921721954709,-0.16729819584842487
2023-12-05,0.461,0.453,0.462,0.453,264869,12107621.7,1.94,-2.16,-0.01,0.72,-0.06981519507186851,0.011382680544606463,289860.0,-0.3545,1.597,0.791,0.4688,0.47219999999999995,0.002207505518763808,0.002207505518763808,-0.02428256070640178,-0.23881449393879028,-0.4104184317723293
2023-12-06,0.453,0.454,0.458,0.45,291594,13213321.665,1.77,0.22,0.001,0.8,-0.07346938775510203,0.011238613946823855,286723.05,-0.3745,1.5725000000000002,0.7825,0.4646,0.4701000000000001,-0.0066079295154185536,-0.008810572687224627,-0.03083700440528636,-0.25212663597432694,-0.417007755331287
2023-12-07,0.455,0.451,0.455,0.447,240294,10806881.1,1.76,-0.66,-0.003,0.66,-0.06818181818181812,0.011083920804188315,290586.45,-0.34650000000000003,1.5585,0.7929999999999999,0.45940000000000003,0.4673999999999999,0.015521064301552201,-0.006651884700665245,-0.019955654101995624,-0.16566333790236776,-0.36966299872400843
2023-12-08,0.452,0.458,0.458,0.447,305649,13851716.1,2.44,1.55,0.007,0.83,-0.049792531120331884,0.01186538709372308,296679.3,-0.24850000000000003,1.6079999999999999,0.8095000000000001,0.4558,0.46559999999999996,0.0021834061135370675,-0.028384279475982543,-0.04148471615720528,-0.7113161350149184,-0.662010652426679
2023-12-11,0.456,0.459,0.461,0.449,221045,10031839.6,2.62,0.22,0.001,0.6,-0.0417536534446763,0.011874807923852478,299016.9,-0.20650000000000004,1.6454999999999997,0.8154999999999999,0.45499999999999996,0.46440000000000003,-0.01089324618736387,-0.0326797385620915,-0.04357298474945537,-0.7493685322868011,-0.6801990211630831
2023-12-12,0.46,0.454,0.46,0.453,150086,6823952.3,1.53,-1.09,-0.005,0.41,-0.05613305613305608,0.011936051876663701,297704.45,-0.28200000000000003,1.6595,0.812,0.45520000000000005,0.462,-0.008810572687224627,-0.026431718061673992,-0.04625550660792954,-0.7538256283440845,-0.6083435392494585
2023-12-13,0.454,0.45,0.456,0.449,495160,22328321.1,1.54,-0.88,-0.004,1.35,-0.07216494845360821,0.011707520637098784,231512.3,-0.36750000000000005,1.6635000000000002,0.631,0.4544,0.4595000000000001,-0.004444444444444473,-0.022222222222222254,-0.033333333333333326,-0.8549774080681816,-0.5659705161218992
2023-12-14,0.451,0.448,0.456,0.447,398963,17992330.9,2.0,-0.44,-0.002,1.09,-0.05882352941176461,0.011176471426121467,239917.5,-0.29650000000000004,1.6605,0.654,0.45380000000000004,0.4566,-0.006696428571428603,-0.013392857142857206,-0.004464285714285698,-0.5925887538799283,-0.13611107020758662
